question;type;sql;relevant_values;variation
¿Y cómo se compara ese YTD con el año pasado en la misma fecha?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"", m.""ytd_prev_year_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Imperial Norte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";;original
¿Podrías decirme cómo se compara este YTD con el del año pasado en la misma fecha?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"", m.""ytd_prev_year_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Imperial Norte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";;rephrased_1
¿Y ese YTD qué tal va respecto al año pasado en esta fecha?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"", m.""ytd_prev_year_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Imperial Norte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";;rephrased_2
¿Como se compara ese YeTD con el año pasado en la misma fecha?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"", m.""ytd_prev_year_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Imperial Norte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";;rephrased_3
¿Comparado con las cifras del año anterior en esta fecha, cómo está ese YTD?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"", m.""ytd_prev_year_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Imperial Norte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";;rephrased_4
¿Me puedes indicar la diferencia entre este YTD y el del año pasado para la misma fecha?;Consumo acumulado YTD;"SELECT b.""name"" AS building_name, m.""year_month"", m.""ytd_consumption_kwh"", m.""ytd_prev_year_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Imperial Norte' AND m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) ORDER BY m.""year_month"" DESC LIMIT 1;";;rephrased_5
¿Y cómo se compara con el mes anterior?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_prev_month_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escola de Girona' AND m.""year_month"" = DATE '2024-03-01';";;original
¿Me podrías decir cómo se compara esto con respecto al mes pasado?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_prev_month_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escola de Girona' AND m.""year_month"" = DATE '2024-03-01';";;rephrased_1
¿Y cómo fue con el mes anteriior?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_prev_month_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escola de Girona' AND m.""year_month"" = DATE '2024-03-01';";;rephrased_2
¿En qué medida difiere esto del mes precedente?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_prev_month_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escola de Girona' AND m.""year_month"" = DATE '2024-03-01';";;rephrased_3
